Alabama,AL,Montgomery,4779736
Alaska,AK,Juneau,710231
Arizona,AZ,Phoenix,6392017
Arkansas,AR,Little Rock,2915918
California,CA,Sacramento,37253956
Colorado,CO,Denver,5029196
Connecticut,CT,Hartford,3574097
Delaware,DE,Dover,897934
Florida,FL,Tallahassee,18801310
Georgia,GA,Atlanta,9687653
Hawaii,HI,Honolulu,1360301
Idaho,ID,Boise,1567582
Illinois,IL,Springfield,12830632
Indiana,IN,Indianapolis,6483802
Iowa,IA,Des Moines,3046355
Kansas,KS,Topeka,2853118
Kentucky,KY,Frankfort,4339367
Louisiana,LA,Baton Rouge,4533372
Maine,ME,Augusta,1328361
Maryland,MD,Annapolis,5773552
Massachusetts,MA,Boston,6547629
Michigan,MI,Lansing,9883640
Minnesota,MN,St. Paul,5303925
Mississippi,MS,Jackson,2967297
Missouri,MO,Jefferson City,5988927
Montana,MT,Helena,989415
Nebraska,NE,Lincoln,1826341
Nevada,NV,Carson City,2700551
New Hampshire,NH,Concord,1316470
New Jersey,NJ,Trenton,8791894
New Mexico,NM,Santa Fe,2059179
New York,NY,Albany,19378102
North Carolina,NC,Raleigh,9535483
North Dakota,ND,Bismarck,672591
Ohio,OH,Columbus,11536504
Oklahoma,OK,Oklahoma City,3751351
Oregon,OR,Salem,3831074
Pennsylvania,PA,Harrisburg,12702379
Rhode Island,RI,Providence,1052567
South Carolina,SC,Columbia,4625364
South Dakota,SD,Pierre,814180
Tennessee,TN,Nashville,6346105
Texas,TX,Austin,25145561
Utah,UT,Salt Lake City,2763885
Vermont,VT,Montpelier,625741
Virginia,VA,Richmond,8001024
Washington,WA,Olympia,6724540
West Virginia,WV,Charleston,1852994
Wisconsin,WI,Madison,5686986
Wyoming,WY,Cheyenne,582658
